Actor,Betweenness
Amanda Seyfried,0.0
Colin Farrell,0.0
Jason Sudeikis,0.0
Aziz Ansari,0.0
Beyoncé Knowles,0.0
Judah Friedlander,0.0
Steven Tyler,0.0
Pitbull,0.0
Christoph Waltz,0.0
John DiMaggio,0.0
Troy Evans,0.0
Chris Wedge,0.0
Tom J. Astle,0.0
Matt Ember,0.0
James V. Hart,0.0
William Joyce,0.0
Daniel Shere,0.0
Nicolas Cage,0.0
Emma Stone,0.0
Ryan Reynolds,0.0
Cloris Leachman,0.0
Clark Duke,0.0
Kirk De Micco,0.0
Chris Sanders,0.0
John Cleese,0.0
Ty Burrell,0.0
Max Charles,0.0
Ariel Winter,0.0
Allison Janney,0.0
Ellie Kemper,0.0
Stephen Colbert,0.0
Karan Brar,0.0
Adam Alexi-Malle,0.0
Stanley Tucci,0.0
Leslie Mann,0.0
Rob Minkoff,0.0
Jason Clarke,0.0
Craig Wright,0.0
Robert Downey Jr.,0.0
Chris Evans,0.0
Mark Ruffalo,0.0
Chris Hemsworth,0.0
Tom Hiddleston,0.0
Stellan Skarsgård,0.0
Gwyneth Paltrow,0.0
Paul Bettany,0.0
Jenny Agutter,0.0
Walter Perez,0.0
Powers Boothe,0.0
Stan Lee,0.0
Ashley Johnson,0.0
Jerzy Skolimowski,0.0
James Eckhouse,0.0
Enver Gjokaj,0.0
Joss Whedon,0.0
